rank,channel_name,title,type,language,level,video_count,duration_hours,description,channel_url,content_url
1,SuperSimpleDev,"HTML & CSS Full Course - Beginner to Pro",Video,English,Beginner to Intermediate,1,11,"One of the best modern HTML & CSS courses with projects and excellent explanations.",https://www.youtube.com/@SuperSimpleDev,https://www.youtube.com/watch?v=G3e-cpL7ofc
2,freeCodeCamp.org,"HTML and CSS Tutorials",Playlist,English,Beginner to Intermediate,10,30+,"Curated playlist containing multiple high-quality HTML and CSS full courses.",https://www.youtube.com/@freecodecamp,https://www.youtube.com/playlist?list=PLWKjhJtqVAbnSe1qUNMG7AbPmjlG54u88
3,Bro Code,"HTML & CSS Full Course for free",Video,English,Beginner,1,4.4,"Modern beginner-friendly HTML & CSS course with practical demonstrations.",https://www.youtube.com/@BroCodez,https://www.youtube.com/watch?v=HGTJBPNC-Gw
4,freeCodeCamp.org,"HTML Full Course - Build a Website Tutorial",Video,English,Beginner,1,2,"Classic beginner HTML course that teaches fundamentals through building a website.",https://www.youtube.com/@freecodecamp,https://www.youtube.com/watch?v=pQN-pnXPaVg
5,Programming with Mosh,"HTML Tutorial for Beginners: HTML Crash Course",Video,English,Beginner,1,1,"Excellent crash course for learning HTML basics quickly.",https://www.youtube.com/@programmingwithmosh,https://www.youtube.com/watch?v=qz0aGYrrlhU
6,Bro Code,"HTML tutorial for beginners",Playlist,English,Beginner,14,1.5,"Short topic-wise HTML lessons ideal for revision and quick learning.",https://www.youtube.com/@BroCodez,https://www.youtube.com/playlist?list=PLZPZq0r_RZOPONttk9beDhO_Bu5DA-xwP
1,Swaroop Talks,"HTML Full Course in Telugu | From a ZERO to HERO | Code With Swaroop",Video,Telugu,Beginner,1,6.0,"Best overall Telugu HTML course with practical, project-based teaching and modern explanations.",https://www.youtube.com/@SwaroopTalks,https://www.youtube.com/watch?v=IGKGDxwvrEQ
2,PythonLife,"HTML Course in 3 Hours in Telugu",Video,Telugu,Beginner,1,2.75,"Fast-paced complete HTML crash course covering all core concepts.",https://www.youtube.com/@PythonLife,https://www.youtube.com/watch?v=7jaQv6xfQjY
3,PythonLife,"HTML with Rupa",Playlist,Telugu,Beginner,35,8.5,"Well-structured beginner playlist with detailed topic-wise explanations.",https://www.youtube.com/@PythonLife,https://www.youtube.com/playlist?list=PLbMVPNscUopTR7fW0daJ39Q0UJOGDdKja
4,College Coders,"HTML & CSS Full Course in 6 Hours | Learn Web Development from Scratch in Telugu",Video,Telugu,Beginner,1,6.0,"Covers HTML and CSS together from scratch with practical examples.",https://www.youtube.com/@CollegeCoders,https://www.youtube.com/watch?v=TIRRNHfcjl8
5,Telugu WebTech,"HTML Tutorials for Beginners in Telugu",Playlist,Telugu,Beginner,11,1.8,"Short introductory playlist suitable for absolute beginners but less comprehensive.",https://www.youtube.com/@TeluguWebTech,https://www.youtube.com/playlist?list=PLZca26lQcxTqP5Op6DX82nRpAgeMpSjZ3
1,Apna College,HTML Tutorial for Beginners | Complete HTML with Notes & Code,Video,English,Beginner,1,4.5,"Complete HTML course covering HTML fundamentals with notes, examples, and practical coding for beginners.",https://www.youtube.com/@ApnaCollegeOfficial,https://www.youtube.com/watch?v=HcOc7P5BMi4
2,CodeWithHarry,HTML Full Course (in Hindi),Video,Hindi,Beginner,1,6.0,"Comprehensive HTML course in Hindi covering HTML basics, forms, tables, semantic tags, and project building.",https://www.youtube.com/@CodeWithHarry,https://www.youtube.com/watch?v=k2DSi1zGEc8
3,CodeWithHarry,HTML Tutorial For Beginners In Hindi (With Notes),Video,Hindi,Beginner,1,2.5,"Beginner-friendly HTML tutorial with downloadable notes and practical examples.",https://www.youtube.com/@CodeWithHarry,https://www.youtube.com/watch?v=BsDoLVMnmZs
4,Complete Coding by Prashant Sir,HTML Complete Course (2024) for Beginners | Projects | Notes | Github | Certification,Video,Hindi,Beginner,1,10.0,"Latest HTML course featuring projects, notes, GitHub resources, and certificate guidance.",https://www.youtube.com/@CompleteCodingbyPrashantSir,https://www.youtube.com/watch?v=rkljdcZ-aLU
5,College Wallah,HTML & CSS Full Course: Beginners to Pro 2024 | 3 Mini Projects Included,Video,Hindi,Beginner to Advanced,1,12.0,"Complete HTML and CSS web development course with three mini projects.",https://www.youtube.com/@CollegeWallahbyPW,https://www.youtube.com/watch?v=HBqWsrqK89U
6,CodeHelp - by Babbar,Complete HTML Tutorial in 1 Video 2024,Video,English,Beginner,1,4.0,"One-shot HTML tutorial covering all essential HTML concepts with practical demonstrations.",https://www.youtube.com/@CodeHelp,https://www.youtube.com/watch?v=k7ELO356Npo
