rank,channel_name,title,type,language,level,video_count,duration_hours,description,channel_url,content_url
1,Harshit Vashisth,"HTML and CSS Tutorial in Hindi | Complete Course (2020)",Playlist,Hindi,Beginner,138,40,"Complete HTML and CSS course in Hindi covering HTML5, CSS3, responsive web design, projects, and practical exercises.",https://www.youtube.com/@harshitvashisth,https://www.youtube.com/playlist?list=PLwgFb6VsUj_mtXvKDupqdWB2JBiek8YPB
2,Programming GuruJi,"CSS Free Course | CSS Tutorial for Beginners in Hindi",Playlist,Hindi,Beginner,47,6,"Complete CSS playlist covering selectors, colors, backgrounds, flexbox, grid, animations, responsive design, and projects.",https://www.youtube.com/@ProgrammingGuruji,https://www.youtube.com/playlist?list=PL724pdDXI9Q396AIu_2_5dpB-X2OBHfiS
3,CodeWithHarry,"CSS Tutorial in Hindi (With Notes)",Video,Hindi,Beginner,1,9,"Complete CSS tutorial with notes covering CSS fundamentals, selectors, layouts, flexbox, grid, transitions, and responsive design.",https://www.youtube.com/@CodeWithHarry,https://www.youtube.com/watch?v=Edsxf_NBFrw
4,WsCube Tech,"CSS Full COURSE for Beginners in 4 HOURS | Learn CSS with Practical",Video,Hindi,Beginner,1,4,"Beginner-friendly CSS course covering CSS syntax, styling, layouts, flexbox, grid, and practical examples.",https://www.youtube.com/@wscubetech,https://www.youtube.com/watch?v=B9FvD1L2hAQ
5,Apna College,"CSS Tutorial for Beginners | Complete CSS with Project, Notes & Code",Video,Hindi,Beginner,1,10,"Comprehensive CSS course with notes, practical coding, and project-based learning.",https://www.youtube.com/@ApnaCollegeOfficial,https://www.youtube.com/watch?v=ESnrn1kAD4E
1,SuperSimpleDev,"HTML & CSS Full Course - Beginner to Pro",one-shot,HTML/CSS,beginner-to-intermediate,1,6.5,"Project-based HTML and CSS course covering HTML basics, CSS fundamentals, hovers and transitions, the box model, text styling, page structure, images, display, divs, nested layouts, CSS Grid, Flexbox, positioning, and responsive-style layout techniques, with exercises and project work.",https://www.youtube.com/@SuperSimpleDev,https://www.youtube.com/watch?v=G3e-cpL7ofc
2,freeCodeCamp.org,"CSS Tutorial – Full Course for Beginners",one-shot,CSS,beginner-to-advanced,1,11.13,"Long-form CSS course covering CSS fundamentals and a broad range of practical styling and layout concepts, with an extensive curriculum designed to take learners from beginner foundations toward more advanced CSS usage.",https://www.youtube.com/@freecodecamp,https://www.youtube.com/watch?v=OXGznpKZ_sA
3,Dave Gray,"CSS Full Course for Beginners | Complete All-in-One Tutorial | 11 Hours",one-shot,CSS,beginner-to-advanced,1,11,"Comprehensive CSS course covering foundational CSS concepts through advanced styling and layout topics in an extended all-in-one format.",https://www.youtube.com/@DaveGrayTeachesCode,https://www.youtube.com/watch?v=n4R2E7O-Ngo
4,Dave Gray,"CSS Tutorials for Beginners",playlist,CSS,beginner-to-intermediate,28,,"Structured 28-video CSS playlist progressing through beginner concepts such as CSS introduction, selectors, colors, units, and sizing, with additional CSS topics covered across the series.",https://www.youtube.com/@DaveGrayTeachesCode,https://www.youtube.com/playlist?list=PL0Zuz27SZ-6Mx9fd9elt80G1bPcySmWit
5,Bro Code,"HTML & CSS Full Course for free 🌎",one-shot,HTML/CSS,beginner-to-intermediate,1,,"Combined HTML and CSS course intended to take beginners through the fundamentals of building and styling web pages.",https://www.youtube.com/@BroCodez,https://www.youtube.com/watch?v=HGTJBPNC-Gw
6,Bro Code,"Learn CSS in 1 hour 🎨",one-shot,CSS,beginner,1,1,"Condensed introductory CSS course focused on essential CSS syntax, selectors, properties, and basic styling concepts for beginners.",https://www.youtube.com/@BroCodez,https://www.youtube.com/watch?v=wRNinF7YQqQ
1,College Coders,HTML & CSS FULL COURSE FOR BEGINNERS IN TELUGU,playlist,Telugu,Beginner to Intermediate,17,6.0,"Comprehensive HTML and CSS structured playlist covering DevTools, Box Model, responsive design, 100+ exercises, and a hands-on YouTube clone project.",https://www.youtube.com/@CollegeCoders,https://www.youtube.com/playlist?list=PLD7HLs2NCdoVVebByYQRw5YrlwH_9fVP7
2,CS World Telugu,CSS for beginners in telugu,playlist,Telugu,Beginner to Intermediate,31,7.0,"Structured, granular playlist covering foundational to intermediate CSS topics including selectors, pseudo-elements, attribute selectors, and styling fundamentals.",https://www.youtube.com/@CSWorldTelugu,https://www.youtube.com/playlist?list=PLzdWZT-ZJD09lGBkH4LIUwqsCWI7QPEXQ
3,College Coders,🚀 HTML & CSS Full Course in 6 Hours 🔥 | Learn Web Development from Scratch in Telugu,video,Telugu,Beginner to Intermediate,1,6.0,"Full-length one-shot video course teaching HTML and CSS from scratch with box model, styling properties, DevTools, and project implementation.",https://www.youtube.com/@CollegeCoders,https://www.youtube.com/watch?v=TIRRNHfcjl8
4,Swaroop Talks,CSS Full Course in Telugu | From a ZERO to HERO | Code With Swaroop,video,Telugu,Beginner,1,1.35,"Practical overview of CSS concepts using real-world website breakdowns and code demonstrations for beginners.",https://www.youtube.com/@SwaroopTalks,https://www.youtube.com/watch?v=Oi9QvyK8zvk
5,PythonLife,CSS Course in Telugu | Cascading Style Sheet | Css in Telugu | Css Tutorials,video,Telugu,Beginner,1,3.29,"Slide-based introduction to basic CSS syntax, inline/internal/external methods, color models, margins, padding, and fonts.",https://www.youtube.com/@PythonLife,https://www.youtube.com/watch?v=vcjXeqUJUYU
