rank,channel_name,title,type,language,level,video_count,duration_hours,description,channel_url,content_url
1,Programming with Mosh,SQL Course for Beginners [Full Course],video,English,Beginner,1,3.0,"Master SQL – an essential skill for AI, machine learning, data analysis, and more! This beginner-friendly course teaches you SQL from scratch.",https://www.youtube.com/@programmingwithmosh,https://www.youtube.com/watch?v=7S_tz1z_5bA
2,freeCodeCamp.org,SQL Tutorial - Full Database Course for Beginners,video,English,Beginner,1,4.3,"In this course, we'll be looking at database management basics and SQL using the MySQL RDBMS.",https://www.youtube.com/@freecodecamp,https://www.youtube.com/watch?v=HXV3zeQKqGY
3,Alex The Analyst,Learn SQL Beginner to Advanced in Under 4 Hours,video,English,Beginner to Advanced,1,3.8,"Comprehensive SQL course covering beginner to advanced concepts including queries, joins, CTEs, window functions, and database design.",https://www.youtube.com/@AlexTheAnalyst,https://www.youtube.com/watch?v=OT1RErkfLNQ
4,Bro Code,SQL Full Course for free 🐬,video,English,Beginner,1,3.0,"Full SQL tutorial covering fundamental database operations, MySQL queries, tables, and constraints for complete beginners.",https://www.youtube.com/@BroCodez,https://www.youtube.com/watch?v=5OdVJbNCSso
5,edureka!,SQL Full Course In 10 Hours | SQL Tutorial | Complete SQL Course For Beginners | Edureka,video,English,Beginner to Advanced,1,10.0,"Comprehensive 10-hour SQL tutorial covering database architecture, queries, stored procedures, functions, joins, and database management.",https://www.youtube.com/@edurekaIN,https://www.youtube.com/watch?v=q_JsgpiuY98
1,Gate Smashers,SQL Full Course,playlist,English,Beginner to Advanced,31,5.5,"Comprehensive video series covering Structured Query Language features, commands (DDL, DML, DCL, TCL), constraints, and DBMS concepts.",https://www.youtube/@GateSmashers,https://www.youtube.com/playlist?list=PLxCzCOWd7aiFbom4rYyl5qROgqYuCuAPD
2,Apna College,SQL - Complete Course in 3 Hours | SQL One Shot using MySQL,video,Hindi,Beginner,1,3.27,"Comprehensive one-shot video tutorial covering complete SQL concepts using MySQL database.",https://www.youtube/@ApnaCollegeOfficial,https://www.youtube.com/watch?v=hlGoQC332VM
3,Rishabh Mishra,SQL Tutorial for Beginners | Full SQL Course In Hindi,video,Hindi,Beginner to Advanced,1,4.0,"Single-video complete SQL course covering data types, database structure, basic CRUD operations, functions, operators, aggregation, nested queries, joins, and CTEs.",https://www.youtube/@RishabhMishra,https://www.youtube.com/watch?v=On9eSN3F8w0
4,Rishabh Mishra,SQL Tutorial In Hindi,playlist,Hindi,Beginner to Advanced,21,3.5,"Structured tutorial series breaking down SQL from scratch with practical examples, PostgreSQL setup, table creation, and queries.",https://www.youtube/@RishabhMishra,https://www.youtube.com/playlist?list=PLdOKnrf8EcP17p05q13WXbHO5Z_JfXNpw
5,CodeWithHarry,SQL Tutorial for Beginners (Complete Course using MySQL),video,Hindi,Beginner,1,4.0,"Complete MySQL course covering database fundamentals, tables, queries, and constraints in a single 4-hour tutorial.",https://www.youtube/@CodeWithHarry,https://www.youtube.com/watch?v=yE6Tlle64tU
1,College Coders,MySQL Full Course in Telugu 🔥 Beginner to Advanced | 30+ Topics Covered | SQL Complete Tutorial,video,Telugu,Beginner to Advanced,1,10.0,"Master MySQL completely in Telugu with this full course designed from beginner to advanced level covering 30+ topics.",https://www.youtube/@CollegeCoders,https://www.youtube.com/watch?v=VZcde1Tn4UQ
2,Kaarthik For U,SQL Full Course in Telugu | Zero to Hero 🔥,video,Telugu,Beginner to Advanced,1,3.0,"Learn SQL from scratch in Telugu with this complete course covering basics, queries, joins, and interview questions with real-world examples.",https://www.youtube/@KaarthikForU,https://www.youtube.com/watch?v=A9SavjIHNPo
3,uday,SQL Full Course in Telugu,playlist,Telugu,Beginner to Advanced,12,3.5,"Step-by-step SQL course covering relational databases like PostgreSQL, MySQL, and Oracle from basics to advanced concepts.",https://www.youtube/@uday_dev,https://www.youtube.com/playlist?list=PLMsoMlKiKdU2bsNa141yxL77ce3Q22WyD
4,Vamsi Bhavani,SQL Complete Course in Telugu,playlist,Telugu,Beginner to Advanced,8,3.5,"Complete SQL course covering queries, mock interviews, practice questions, variables, loops, CTEs, and conditions.",https://www.youtube/@VamsiBhavani,https://www.youtube.com/playlist?list=PLNgoFk5SYUgmiH8Ap48giUat1mbDtd_SO
5,Vamsi Bhavani,SQL Full Course in Telugu | Complete SQL in 3.5 Hours | Vamsi Bhavani,video,Telugu,Beginner to Advanced,1,3.5,"In-depth single-video SQL course explaining database fundamentals, queries, joins, subqueries, and database design in Telugu.",https://www.youtube/@VamsiBhavani,https://www.youtube.com/watch?v=XEqTRwT9cW4
