3,Programming with Mosh,"Java Full Course for Beginners",Video,English,Beginner,1,2.5,"Complete beginner-friendly Java course covering Java fundamentals, OOP, collections, exceptions, and file handling.",https://www.youtube.com/@programmingwithmosh,https://www.youtube.com/watch?v=eIrMbAQSU34
4,freeCodeCamp.org,"Java Programming for Beginners – Full Course",Video,English,Beginner,1,4,"Hands-on Java programming course teaching syntax, OOP, control flow, methods, arrays, and essential programming concepts.",https://www.youtube.com/@freecodecamp,https://www.youtube.com/watch?v=A74TOX803D0
1,Telusko,"Java Tutorial For Beginners",Playlist,English,Beginner,106,,"Complete Java course covering fundamentals, OOP, collections, JDBC, multithreading, Spring basics, and modern Java concepts.",https://www.youtube.com/@Telusko,https://www.youtube.com/playlist?list=PLsyeobzWxl7pe_IiTfNyr55kwJPWbgxB5
2,Bro Code,"Java tutorial for beginners",Playlist,English,Beginner,71,,"Step-by-step Java playlist covering syntax, variables, OOP, GUI development, file handling, collections, and practical projects.",https://www.youtube.com/@BroCodez,https://www.youtube.com/playlist?list=PLZPZq0r_RZOOkJ_NQZq_R2PECIwMgllemc
5,Telusko,"Java Tutorial for Beginners",Video,English,Beginner,1,12.39,"Comprehensive beginner Java course explaining fundamentals with practical coding examples.",https://www.youtube.com/@Telusko,https://www.youtube.com/watch?v=BGTx91t8q50

4,Vamsi Bhavani,"Java Full Course in 10 Hours | Telugu",Video,Telugu,Beginner,1,10.0,"Complete Java one-shot course in Telugu designed for beginners, covering Java basics, OOP, arrays, strings, collections, and interview-oriented concepts.",https://www.youtube.com/@VamsiBhavani,https://www.youtube.com/watch?v=aMaayeDW360
3,Swaroop Talks,"Java Full Course in Telugu 2026: Zero to Advanced",Playlist,Telugu,Beginner to Advanced,16,,"Structured Java playlist in Telugu covering Java fundamentals, OOP, arrays, strings, collections, and advanced programming concepts.",https://www.youtube.com/@SwaroopTalks,https://www.youtube.com/playlist?list=PLS8lzSv6JRJ2KspLhGk73WQLc-SPMaV85
1,H Y R Tutorials,"Core Java in Telugu Language",Playlist,Telugu,Beginner to Intermediate,77,,"Comprehensive Core Java playlist in Telugu covering programming fundamentals, OOP, exception handling, collections, multithreading, JDBC, and interview-oriented concepts.",https://www.youtube.com/@HYRTutorials,https://www.youtube.com/playlist?list=PLacgMXFs7kl8wrP2mPyJgsWVk-FP31qq1
2,MSquare,"Java + DSA MasterOne Course 🔥 in Telugu | A TO Z Course",Playlist,Telugu,Beginner to Intermediate,18,Unknown,"Structured Java and DSA playlist covering Java from basics through core programming concepts.",https://www.youtube.com/@MSquare,https://www.youtube.com/playlist?list=PL40oTeawokV-qbPcZy0YV_XUDIl5QvEgl

2,Apna College,"Java & DSA in 30 Days : Course for Placement",Playlist,English,Beginner to Intermediate,39,,"Placement-oriented Java course covering Java fundamentals, DSA concepts, problem-solving, and interview preparation with coding practice.",https://www.youtube.com/@ApnaCollegeOfficial,https://www.youtube.com/playlist?list=PLfqMhTWNBTe3LtFWcvwpqTkUSlB32kJop
1,CodeWithHarry,"Java Tutorials For Beginners In Hindi",Playlist,Hindi,Beginner to Advanced,113,,"Comprehensive Java course in Hindi covering Core Java, OOP, collections, exception handling, multithreading, JDBC, and advanced Java topics.",https://www.youtube.com/@CodeWithHarry,https://www.youtube.com/playlist?list=PLu0W_9lII9agS67Uits0UnJyrYiXhDS6q
3,CodeWithHarry,"Java tutorial in hindi 🔥",Video,Hindi,Beginner,1,Unknown,"Complete Java tutorial in Hindi designed for beginners.",https://www.youtube.com/@CodeWithHarry,https://www.youtube.com/watch?v=rV_3Lewxx6o
